EPIC,fund_period,fund_power,sig_period,sig_power,sec_period,sec_power,num_sig,harm_type,threshold,SpotEvol,MultiProt,Q,Q2,Q3,Neighbor,Blended,ImgProblem,Notes,Notes – neighbors
247744104,16.2466,0.8648,16.2466,0.8648,7.8663,0.0323,1,half,0.008278,n,n,0,2,-,n,n,n,,
247755982,28.0989,0.4493,28.0989,0.4493,6.5181,0.008,1,-,0.007352,m,n,0,2,-,y,n,n,,
247783757,1.8264,0.7891,1.8264,0.7891,-9999,-9999,0,-,0.00731,n,n,0,-,-,n,n,n,,
247793419,24.2441,0.7764,24.2441,0.7764,-9999,-9999,0,-,0.008005,n,n,0,-,-,y,y,n,,DSS image appears to show a fainter blended star; nothing in 2MASS
247796367,0.2902,0.2088,0.2902,0.2088,0.1451,0.0101,0,half,0.007449,n,n,0,2,-,n,n,n,,
247799152,0.2828,0.0095,0.2828,0.0095,0.3175,0.0075,1,-,0.006316,n,m,0,1,-,n,n,n,first phases OK but second is weaker,
247813004,1.711,0.2478,1.711,0.2478,0.8518,0.0738,2,half,0.007433,y,n,0,2,2,y,y,n,,similar brightness neighbor with overlapping PSF
247829435,34.1713,0.2219,34.1713,0.2219,0.6558,0.0735,1,-,0.007659,n,n,2,1,-,n,n,n,,
247857331,7.4749,0.4632,7.4749,0.4632,3.4815,0.114,0,half,0.00758,y,n,0,2,-,y,y,n,phase drift,Several neighbors of varying brightness
247862511,6.5895,0.9444,6.5895,0.9444,-9999,-9999,0,-,0.008491,n,n,0,-,-,n,n,n,,TPF background looks odd
247864824,59.002,0.8464,59.002,0.8464,-9999,-9999,0,-,0.007846,n,n,2,-,-,y,y,n,long trend,DSS image appears to show a fainter blended star; nothing in 2MASS
247899959,0.7649,0.0767,0.7649,0.0767,57.8656,0.0603,11,-,0.007158,n,n,0,2,2,y,m,n,,
247969085,1.036,0.6415,1.036,0.6415,0.5179,0.1978,0,half,0.008067,m,n,0,2,-,y,y,n,,
247970815,57.8656,0.1829,57.8656,0.1829,5.9856,0.0252,2,-,0.007643,y,n,2,1,2,m,n,n,clear sinusoidal variability comes and goes over the campaign,
248045685,40.1008,0.6217,40.1008,0.6217,13.8499,0.05,1,-,0.008064,y,n,2,2,-,y,n,n,no clear repeating pattern,Faint neighbors in both surveys but different locations
248170923,1.4793,0.579,1.4793,0.579,0.7393,0.1106,0,half,0.007795,y,n,0,2,-,y,y,n,,
248199652,66.8832,0.088,66.8832,0.088,5.9033,0.01,2,-,0.006816,n,n,2,2,2,y,y,n,,
