IDX,RA,DEC,RA_HMS,DEC_DMS,PERIOD
494,68.408188,16.762500,04:33:37.9651,+16:45:44.9989,-99.00
499,68.634090,15.827556,04:34:32.1816,+15:49:39.202,-99.00
501,68.666401,15.209053,04:34:39.9362,+15:12:32.589,-99.00
502,68.708723,20.394591,04:34:50.0936,+20:23:40.5262,-99.00
504,68.763782,24.854039,04:35:03.3077,+24:51:14.5411,-99.00
511,69.000366,16.540768,04:36:00.0878,+16:32:26.7652,-99.00
512,69.017386,18.888562,04:36:04.1725,+18:53:18.825,-99.00
513,69.128364,19.090891,04:36:30.8074,+19:05:27.2062,-99.00
514,69.158446,23.041992,04:36:38.027,+23:02:31.1701,-99.00
515,69.162270,18.615746,04:36:38.9449,+18:36:56.6842,-99.00
522,69.341250,19.354842,04:37:21.8999,+19:21:17.4319,-99.00
528,69.603941,17.542433,04:38:24.9459,+17:32:32.757,-99.00
530,69.728013,19.182218,04:38:54.7231,+19:10:55.9852,-99.00
538,70.038395,25.592400,04:40:09.2148,+25:35:32.6389,5.61
539,70.052968,19.286096,04:40:12.7124,+19:17:09.9442,-99.00
553,70.717377,23.339572,04:42:52.1705,+23:20:22.461,-99.00
557,70.853146,24.296678,04:43:24.7551,+24:17:48.0419,-99.00
561,71.182332,18.408245,04:44:43.7596,+18:24:29.6809,-99.00
563,71.331726,13.574288,04:45:19.6143,+13:34:27.4372,-99.00
568,71.578308,3.636337,04:46:18.7939,+03:38:10.8121,13.25
574,71.787224,20.882316,04:47:08.9337,+20:52:56.3362,-99.00
575,71.790641,24.020036,04:47:09.7539,+24:01:12.131,-99.00
584,71.982110,25.579765,04:47:55.7064,+25:34:47.1529,-99.00
593,72.399430,21.760829,04:49:35.8633,+21:45:38.9851,-99.00
596,72.569473,20.625824,04:50:16.6735,+20:37:32.966,-99.00
600,72.889912,14.286373,04:51:33.5789,+14:17:10.9421,-99.00
601,72.954948,17.273721,04:51:49.1875,+17:16:25.3949,-99.00
646,76.418241,6.465176,05:05:40.3778,+06:27:54.6322,10.41
660,77.787024,17.574066,05:11:08.8857,+17:34:26.639,-99.00
774,65.199952,15.235827,04:20:47.9884,+15:14:08.9779,43.59
